Цифр. код,Букв. код,Единиц,Валюта,Курс
036,AUD,1,Австралийский доллар,"50,8804"
944,AZN,1,Азербайджанский манат,"41,7779"
012,DZD,100,Алжирских динаров,"53,3580"
051,AMD,100,Армянских драмов,"19,2901"
764,THB,10,Батов,"21,7960"
048,BHD,1,Бахрейнский динар,"188,8486"
933,BYN,1,Белорусский рубль,"25,7328"
068,BOB,1,Боливиано,"10,2782"
986,BRL,1,Бразильский реал,"14,0599"
410,KRW,1000,Вон,"47,1659"
344,HKD,10,Гонконгских долларов,"90,6245"
980,UAH,10,Гривен,"16,0437"
208,DKK,1,Датская крона,"11,0408"
784,AED,1,Дирхам ОАЭ,"19,3390"
840,USD,1,Доллар США,"71,0224"
704,VND,10000,Донгов,"28,2519"
978,EUR,1,Евро,"82,6369"
818,EGP,10,Египетских фунтов,"13,5826"
985,PLN,1,Злотый,"19,5143"
392,JPY,100,Иен,"44,5841"
356,INR,100,Индийских рупий,"74,4591"
364,IRR,1000000,Иранских риалов,"48,4374"
124,CAD,1,Канадский доллар,"51,4320"
634,QAR,1,Катарский риал,"19,5116"
192,CUP,10,Кубинских песо,"29,5927"
104,MMK,1000,Кьятов,"33,8202"
981,GEL,1,Лари,"26,5922"
498,MDL,10,Молдавских леев,"40,9783"
566,NGN,1000,Найр,"51,6374"
554,NZD,1,Новозеландский доллар,"42,2690"
934,TMT,1,Новый туркменский манат,"20,2921"
578,NOK,10,Норвежских крон,"76,4372"
512,OMR,1,Оманский риал,"184,7137"
946,RON,1,Румынский лей,"15,7481"
360,IDR,10000,Рупий,"39,9249"
710,ZAR,10,Рэндов,"43,6650"
682,SAR,1,Саудовский риял,"18,9393"
960,XDR,1,СДР (специальные права заимствования),"97,0649"
941,RSD,100,Сербских динаров,"70,4251"
702,SGD,1,Сингапурский доллар,"55,6079"
417,KGS,100,Сомов,"81,2149"
972,TJS,10,Сомони,"76,7536"
050,BDT,100,Так,"57,8227"
398,KZT,100,Тенге,"14,6272"
496,MNT,1000,Тугриков,"19,8612"
949,TRY,10,Турецких лир,"15,5504"
860,UZS,10000,Узбекских сумов,"59,1758"
348,HUF,100,Форинтов,"23,2967"
826,GBP,1,Фунт стерлингов,"95,3973"
203,CZK,10,Чешских крон,"34,0619"
752,SEK,10,Шведских крон,"76,2433"
756,CHF,1,Швейцарский франк,"90,5321"
230,ETB,100,Эфиопских быров,"44,9572"
156,CNY,1,Юань,"10,4865"
